Mobile Name,Price,Rating,Weight
"MOTOROLA g35 5G (Leaf Green, 128 GB)","₹9,999",4.2,185 g
"realme C61 (Safari Green, 128 GB)","₹8,199",4.4,187 g
"MOTOROLA g35 5G (Midnight Black, 128 GB)","₹9,999",4.2,185 g
"SAMSUNG Galaxy A05 (Light Green, 128 GB)","₹8,144",4.3,195 g
"POCO M6 5G (Polaris Green, 64 GB)","₹8,499",4.2,195 g
"realme C63 (Leather Blue, 64 GB)","₹8,499",4.3,191 g
"MOTOROLA g35 5G (Guava Red, 128 GB)","₹9,999",4.2,185 g
"POCO M6 5G (Galactic Black, 64 GB)","₹8,499",4.2,195 g
"realme C63 (Jade Green, 128 GB)","₹8,999",4.3,189 g
"realme C61 (Marble Black, 128 GB)","₹8,199",4.4,187 g
"vivo Y18i (Space Black, 64 GB)","₹7,999",4.1,185 g
"SAMSUNG Galaxy M14 4G (Arctic Blue, 64 GB)","₹8,442",4.1,Not Found
"REDMI 13C 5G (Starlight Black, 128 GB)","₹8,999",4.3,195 g
"SAMSUNG Galaxy A05 (Silver, 128 GB)","₹8,024",4.3,195 g
"SAMSUNG Galaxy A05 (Silver, 64 GB)","₹7,899",4.4,195 g
"vivo Y18i (Gem Green, 64 GB)","₹7,999",4.1,185 g
"realme Narzo N61 (Marble Black, 128 GB)","₹8,197",4.2,Not Found
"SAMSUNG Galaxy A05 (Black, 128 GB)","₹12,499",4.3,195 g
"Infinix Hot 50 5G (Vibrant Blue, 128 GB)","₹9,499",4.3,188 g
"realme C63 (Jade Green, 64 GB)","₹8,499",4.3,189 g
"itel Color Pro 5G (River Blue, 128 GB)","₹8,298",4.1,Not Found
"realme C63 (Leather Blue, 128 GB)","₹8,999",4.3,191 g
"REDMI 13C 5G (Startrail Silver, 128 GB)","₹8,999",4.3,195 g
"POCO M6 5G (Orion Blue, 64 GB)","₹8,499",4.2,195 g
"POCO M6 5G (Orion Blue, 64 GB)","₹8,499",4.2,195 g
"REDMI 13C 5G (Startrail Green, 128 GB)","₹8,999",4.3,195 g
"REDMI A4 5G only on Jio SIM (Sparkle Purple, 64 GB)","₹8,885",4.3,Not Found
"OPPO A3x (Nebula Red, 128 GB)","₹9,999",4.1,186 g
"REDMI A3 (Midnight Black, 128 GB)","₹8,888",4.1,199 g
"Infinix HOT 40i (Horizon Gold, 256 GB)","₹9,999",4.1,190 g
"SAMSUNG M05 (Mint Green, 64 GB)","₹6,945",4.2,Not Found
"REDMI A4 5G only on Jio SIM (Starry Black, 128 GB)","₹9,475",4.3,Not Found
