Name,Price,RAM/ROM,Display,Battery,Processor
"realme C61 (Marble Black, 128 GB)","₹8,199",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.13 cm (6.745 inch) HD+ Display,32MP Rear Camera | 5MP Front Camera,5000 mAh Battery
"REDMI A5 (Jaisalmer Gold, 128 GB)","₹7,499",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.48 cm (6.88 inch) HD+ Display,32MP Rear Camera | 8MP Front Camera,5200 mAh Battery
"realme Narzo N61 (Vyage Blue, 64 GB)","₹7,490",4 GB RAM | 64 GB ROM,17.12 cm (6.74 inch) Display,32MP Rear Camera,5000 mAh Battery
"realme C61 (Safari Green, 128 GB)","₹8,199",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.13 cm (6.745 inch) HD+ Display,32MP Rear Camera | 5MP Front Camera,5000 mAh Battery
"Samsung M05 (Mint Green, 64 GB)","₹6,745",4 GB RAM | 64 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,5000 mAh Battery
"REDMI A5 (Just Black, 128 GB)","₹7,499",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.48 cm (6.88 inch) HD+ Display,32MP Rear Camera | 8MP Front Camera,5200 mAh Battery
"REDMI A5 (Pondicherry Blue, 128 GB)","₹7,499",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.48 cm (6.88 inch) HD+ Display,32MP Rear Camera | 8MP Front Camera,5200 mAh Battery
"Tecno Spark 20 (Magic Skin Blue, 256 GB)","₹9,974",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.66 cm (6.56 inch) HD+ Display,50MP Rear Camera | 32MP Front Camera,5000 mAh Battery
"POCO M6 Plus 5G (Graphite Black, 128 GB)","₹10,080",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,108MP + 2MP | 13MP Front Camera,5030 mAh Battery
"OPPO A3x (Nebula Red, 128 GB)","₹9,999",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5100 mAh Battery
"POCO M6 Plus 5G (Ice Silver, 128 GB)","₹10,080",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,108MP + 2MP | 13MP Front Camera,5030 mAh Battery
"realme Narzo N61 (Marble Black, 128 GB)","₹9,095",6 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) Display,32MP Rear Camera,5000 mAh Battery
"POCO C65 (Pastel Green, 128 GB)","₹8,499",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,50MP + AI Lens + 2MP | 8MP Front Camera,5000 mAh Battery
"REDMI A3 (Olive Green, 128 GB)","₹8,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.04 cm (6.71 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery
"OPPO A3x (Ocean Blue, 128 GB)","₹9,999",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5100 mAh Battery
"REDMI A3 (Midnight Black, 128 GB)","₹8,990",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.04 cm (6.71 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery
"POCO M6 Plus 5G (Misty Lavender, 128 GB)","₹11,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,108MP + 2MP | 13MP Front Camera,5030 mAh Battery
"Samsung Galaxy A06 (Black, 64 GB)","₹8,095",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
"POCO C65 (Pastel Blue, 128 GB)","₹9,499",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,50MP + AI Lens + 2MP | 8MP Front Camera,5000 mAh Battery
"vivo Y18t (Gem Green, 128 GB)","₹9,295",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.66 cm (6.56 inch) Display,50MP + 0.08MP | 8MP Front Camera,5000 mAh Battery
"realme Narzo N61 (Voyage Blue, 128 GB)","₹8,999",6 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) Display,32MP Rear Camera,5000 mAh Battery
"OPPO A3x (Ocean Blue, 64 GB)","₹8,499",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5100 mAh Battery
"POCO C65 (Pastel Blue, 128 GB)","₹9,999",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,50MP + AI Lens + 2MP | 8MP Front Camera,5000 mAh Battery
"OPPO A3x (Nebula Red, 64 GB)","₹8,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5100 mAh Battery
"OPPO A3x 4G (Ocean Blue, 64 GB)","₹9,799",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5100 mAh Battery
"REDMI A3 (Olive Green, 64 GB)","₹6,998",3 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.04 cm (6.71 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery
"POCO M6 Plus 5G (Graphite Black, 128 GB)","₹11,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,108MP + 2MP | 13MP Front Camera,5030 mAh Battery
"Samsung Galaxy F13 (Sunrise Copper, 64 GB)","₹10,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 5MP + 2MP | 8MP Front Camera,6000 mAh Lithium Ion Battery
"vivo Y18 (Space Black, 64 GB)","₹8,988",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.66 cm (6.56 inch) Display,50MP + 0.08MP | 8MP Front Camera,5000 mAh Battery
"Samsung Galaxy F14 (Moonlight sliver, 64 GB)","₹8,892",4 GB RAM | 64 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,5000 mAh Battery
"REDMI 10A SPORT (CHARCOAL BLACK, 128 GB)","₹8,990",6 GB RAM | 128 GB ROM,16.59 cm (6.53 inch) Display,13MP Rear Camera,5000 mAh Battery
"itel A70 (Field Green, 256 GB)","₹8,999",4 GB RAM | 256 GB ROM,16.76 cm (6.6 inch) Display,13MP Rear Camera,5000 mAh Battery
"LAVA Blaze 3 (Blue, 128 GB)","₹9,999",6 GB RAM | 128 GB ROM,16.66 cm (6.56 inch) Display,50MP Rear Camera,5000 mAh Battery
"vivo Y18 (Gem Green, 64 GB)","₹8,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.66 cm (6.56 inch) HD+ Display,50MP + 0.08MP | 8MP Front Camera,5000 mAh Battery
"REDMI 11 Prime (Peppy Purple, 64 GB)","₹8,490",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery
"LAVA YUVA 2 PRO (LAVENDER, 64 GB)","₹7,190",4 GB RAM | 64 GB ROM,16.51 cm (6.5 inch) Display,13MP Rear Camera,5000 mAh Battery
"Samsung Galaxy A06 (Gold, 64 GB)","₹8,909",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
"POCO M6 5G (Orion Blue, 128 GB)","₹10,499",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery
"vivo T3 Lite 5G (Vibrant Green, 128 GB)","₹10,499",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.66 cm (6.56 inch) Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
"LAVA Blaze 2 5G with Dual Sim|50MP Rear Camera|5000 mAh Battery|Expandable Upto 1 TB (Glass Lavender, ...","₹8,949",4 GB RAM | 64 GB ROM,16.66 cm (6.56 inch) Full HD+ Display,50MP Rear Camera,5000 mAh Battery
"LAVA O2 (Imperial Green, 128 GB)","₹8,678",8 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) Display,50MP Rear Camera,5000 mAh Battery
"LAVA Blaze 2 5G with Dual Sim|50MP Rear Camera|5000 mAh Battery|Expandable Upto 1 TB (Glass Blue, 64 G...","₹9,299",4 GB RAM | 64 GB ROM,16.66 cm (6.56 inch) Full HD+ Display,50MP Rear Camera,5000 mAh Battery
"REDMI 12 (Jade Black, 128 GB)","₹9,499",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 8MP + 2MP | 8MP Front Camera,5000 mAh Battery
"REDMI 13C (Black, 128 GB)","₹8,999",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,5000 mAh Battery
"realme 10 (Clash White, 64 GB)","₹9,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.26 cm (6.4 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery
"POCO C55 (Cool Blue, 128 GB)","₹13,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.04 cm (6.71 inch) HD+ Display,50MP Dual Rear Camera | 5MP Front Camera,5000 mAh Battery
"REDMI A2 (Classic Black, 64 GB)","₹7,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.56 cm (6.52 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery
"Samsung Galaxy A06 (Light Blue, 64 GB)","₹7,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
"REDMI 12 (Moonstone Silver, 128 GB)","₹9,499",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 8MP + 2MP | 8MP Front Camera,5000 mAh Battery
