Car Name,Model,Mileage,Price,Dealer Name
2024 Ford Mustang EcoBoost Premium,Ford Mustang EcoBoost Premium,"28,274 mi.","$29,995",Countryside Mitsubishi
2024 Ford Mustang EcoBoost Premium,Ford Mustang EcoBoost Premium,"28,869 mi.","$29,895",Countryside Mitsubishi
2013 Ford E150 Cargo,Ford E150 Cargo,"135,519 mi.","$7,995",Blue Sky Auto Sales - Brighton Park
2023 Ford Edge SEL,Ford Edge SEL,"47,288 mi.","$22,477",McGrath City Mazda
2022 Ford Edge SEL,Ford Edge SEL,"41,353 mi.","$23,498",Volkswagen of Oak Lawn
2010 Ford Crown Victoria Police Interceptor,Ford Crown Victoria Police Interceptor,"53,832 mi.","$10,795",Asia Motors Inc.
2010 Ford Crown Victoria Police Interceptor,Ford Crown Victoria Police Interceptor,"78,935 mi.","$8,795",Asia Motors Inc.
2011 Ford Crown Victoria Police Interceptor,Ford Crown Victoria Police Interceptor,"81,481 mi.","$8,995",Asia Motors Inc.
2017 Ford Expedition EL XL,Ford Expedition EL XL,"87,035 mi.","$18,595",Asia Motors Inc.
2016 Ford Expedition EL XL,Ford Expedition EL XL,"101,659 mi.","$14,795",Asia Motors Inc.
2015 Ford Edge Titanium,Ford Edge Titanium,"84,340 mi.","$13,914",Napleton's Countryside Mazda
2022 Ford Edge Titanium,Ford Edge Titanium,"65,797 mi.","$20,895",Napleton Lincoln Blue Island
2025 Ford Expedition Active,Ford Expedition Active,No mileage,"$68,887",Willowbrook Ford Kia
2024 Ford Expedition XLT,Ford Expedition XLT,No mileage,"$62,543",Willowbrook Ford Kia
2014 Ford E150 Cargo,Ford E150 Cargo,"153,091 mi.","$9,990",International Car Center
2008 Ford Mustang GT Deluxe,Ford Mustang GT Deluxe,"101,227 mi.","$7,777",Rt 34 Motorsports
2009 Ford Escape Hybrid Limited,Ford Escape Hybrid Limited,"90,326 mi.","$6,999",Auto House Motors
2011 Ford Escape Hybrid Base,Ford Escape Hybrid Base,"191,375 mi.","$4,500",Ultimate Motor Cars
2016 Ford Edge Titanium,Ford Edge Titanium,"113,000 mi.","$10,500",No dealer
2024 Ford Expedition Platinum,Ford Expedition Platinum,No mileage,"$78,640",Schaumburg Ford
2015 Ford Escape SE,Ford Escape SE,"114,462 mi.","$12,195",DriveTime of Highland
2005 Ford Five Hundred SEL,Ford Five Hundred SEL,"72,779 mi.","$6,666",Arlington Heights Buick GMC
